gene_name	chromosome	start	end	length
SERPINB11	18	63647579	63726432	78854
	HSCHR14_3_CTG1	492914	493399	486
IGHV3-20	HSCHR14_3_CTG1	678705	679222	518
IGHE	HSCHR14_3_CTG1	67715	69502	1788
	9	127690098	127690840	743
IGHV1-24	HSCHR14_3_CTG1	744315	744812	498
PTRH1	9	127690348	127724873	34526
	HSCHR14_3_CTG1	555891	556342	452
ELK2BP	HSCHR14_3_CTG1	13608	16692	3085
TRPS1-AS1	8	115509602	115511325	1724
	8	60965802	60967775	1974
IGHA1	HSCHR14_3_CTG1	174887	176434	1548
BTF3P1	8	51721670	51722164	495
IGHV4-31	HSCHR14_3_CTG1	817052	817524	473
PTDSS1	8	96261902	96336995	75094
IGHV1-3	HSCHR14_3_CTG1	472864	473343	480
IGHVIII-38-1	HSCHR14_3_CTG1	909704	909757	54
IGHV7-34-1	HSCHR14_3_CTG1	868979	869412	434
CCDC92	HSCHR12_6_CTG2_1	92215	119498	27284
IGHV4-34	HSCHR14_3_CTG1	865340	865824	485
	HSCHR14_3_CTG1	836089	836526	438
IGHGP	HSCHR14_3_CTG1	132402	137612	5211
	3	81366990	81368021	1032
	HSCHR14_3_CTG1	798885	799321	437
IGHV4-39	HSCHR14_3_CTG1	913388	913897	510
RPS12P6	3	78758974	78759374	401
IGHG1	HSCHR14_3_CTG1	204112	210840	6729
SFMBT1	3	52903572	53046750	143179
OR5BC1P	11	58317637	58318375	739
SCGB1A1	11	62405103	62423195	18093
	17	39927742	39939601	11860
IGHV3-33	HSCHR14_3_CTG1	826782	827302	521
IGHVIII-47-1	HSCHR14_3_CTG1	1022820	1023150	331
IGHV3-21	HSCHR14_3_CTG1	702831	703363	533
	10	124623353	124624079	727
TXNP1	10	119683127	119683823	697
IGHV1-17	HSCHR14_3_CTG1	642111	642529	419
IGHV1-12	HSCHR14_3_CTG1	590189	590478	290
OR10V2P	11	59748811	59749574	764
SLC20A1P2	HSCHR14_3_CTG1	647323	648288	966
IGHV1-45	HSCHR14_3_CTG1	998675	999170	496
CATSPERB	HSCHR14_1_CTG1	44832	248502	203671
	11	59752578	59754975	2398
IGHV3-50	HSCHR14_3_CTG1	1057796	1058234	439
HNRNPRP2	11	29668886	29669628	743
IGHV4-28	HSCHR14_3_CTG1	792023	792529	507
IGHV3-53	HSCHR14_3_CTG1	1084355	1085026	672
RPL7AP58	11	29725764	29726565	802
IGHG4	HSCHR14_3_CTG1	92110	93835	1726
E2F8	11	19224063	19241620	17558
	16	72973374	72973832	459
WFDC1	16	84294846	84329844	34999
IGHV1-68	HSCHR14_3_CTG1	1195531	1195825	295
IGHVIII-22-2	HSCHR14_3_CTG1	732457	732484	28
IGHVII-40-1	HSCHR14_3_CTG1	932629	932686	58
IGHV3-54	HSCHR14_3_CTG1	1093025	1093471	447
IGHV3-16	HSCHR14_3_CTG1	632974	633499	526
	HSCHR14_3_CTG1	674372	676340	1969
IKZF3	17	39757718	39864312	106595
IGHV7-56	HSCHR14_3_CTG1	1101441	1101875	435
IGHV3-13	HSCHR14_3_CTG1	597309	597841	533
DNAH10OS	HSCHR12_6_CTG2_1	100599	108528	7930
MIR3911	9	127690687	127690795	109
IGHV1-18	HSCHR14_3_CTG1	652668	653163	496
CFAP157	9	127706988	127716002	9015
	2	19458220	19468961	10742
IGHVIII-25-1	HSCHR14_3_CTG1	761337	761577	241
IGHVIII-2-1	HSCHR14_3_CTG1	469303	469593	291
RPS16P2	2	20155618	20156057	440
IGHVII-74-1	HSCHR14_3_CTG1	1312348	1312588	241
	HSCHR14_3_CTG1	851470	851923	454
LINC01822	2	21687430	21710656	23227
IGHVII-15-1	HSCHR14_3_CTG1	631352	631571	220
IGHVII-44-2	HSCHR14_3_CTG1	985813	986062	250
IGHV3-19	HSCHR14_3_CTG1	664469	664759	291
IGHVIII-11-1	HSCHR14_3_CTG1	587976	588242	267
IGHVIII-5-1	HSCHR14_3_CTG1	507435	507533	99
IGHVIII-13-1	HSCHR14_3_CTG1	610056	610346	291
TACC2	10	121989163	122254545	265383
	HSCHR14_3_CTG1	575741	576176	436
SERPINB3	18	63655197	63661893	6697
IGHVIII-67-3	HSCHR14_3_CTG1	1184336	1184567	232
IGHV3-30-2	HSCHR14_3_CTG1	812164	812602	439
HOMER2P2	HSCHR14_3_CTG1	754580	755426	847
IGHV3-64	HSCHR14_3_CTG1	1149402	1149937	536
GEN1	2	17753858	17788946	35089
IGHV3-65	HSCHR14_3_CTG1	1157771	1158211	441
IGHV3-35	HSCHR14_3_CTG1	881069	881537	469
IGHVII-22-1	HSCHR14_3_CTG1	731131	731395	265
ELK2AP	HSCHR14_3_CTG1	140077	141083	1007
IGHV3-15	HSCHR14_3_CTG1	621391	621932	542
TTC16	9	127716079	127731590	15512
IGHV5-51	HSCHR14_3_CTG1	1070421	1070915	495
	14	23415339	23415686	348
ZFHX2-AS1	14	23511760	23560778	49019
	HSCHR14_3_CTG1	928094	928234	141
IGHVII-46-1	HSCHR14_3_CTG1	1007497	1007533	37
IGHV3-42	HSCHR14_3_CTG1	954937	955237	301
IGHV3-6	HSCHR14_3_CTG1	523318	523767	450
IGHV3-7	HSCHR14_3_CTG1	529918	530452	535
	16	87836532	87837663	1132
IGHV2-26	HSCHR14_3_CTG1	769164	769631	468
	16	86764298	86771041	6744
	16	74842587	74843883	1297
CSNKA2IP	3	88338416	88467594	129179
IGHV4-55	HSCHR14_3_CTG1	1097780	1098230	451
IGHVII-67-1	HSCHR14_3_CTG1	1178196	1178241	46
IGHV7-27	HSCHR14_3_CTG1	785592	786005	414
IGHV3-41	HSCHR14_3_CTG1	934812	935263	452
IGHVII-62-1	HSCHR14_3_CTG1	1142230	1142464	235
IGHVIII-5-2	HSCHR14_3_CTG1	513369	513629	261
FLJ30679	16	86555320	86557299	1980
IGHV4-59	HSCHR14_3_CTG1	1118928	1119504	577
	14	23530682	23532367	1686
ATP2C2-AS1	16	84459259	84467361	8103
THTPA	14	23555988	23560271	4284
	16	79605802	79606605	804
	16	86646301	86668923	22623
	3	94935760	94936120	361
	16	86434830	86435884	1055
IGHV3-33-2	HSCHR14_3_CTG1	860786	861225	440
IGHV2-70	HSCHR14_3_CTG1	1261745	1262264	520
	3	81612790	81613075	286
IGHVIII-76-1	HSCHR14_3_CTG1	1322941	1323226	286
PROS2P	3	90202316	90257415	55100
IGHV3-43	HSCHR14_3_CTG1	961942	962479	538
POLR3GP1	HSCHR14_1_CTG1	67309	67569	261
ZCCHC14	16	87406246	87493024	86779
	HSCHR14_1_CTG1	36580	39407	2828
IGHV3-66	HSCHR14_3_CTG1	1166694	1167223	530
	21	6318378	6360415	42038
	HSCHR14_1_CTG1	18546	18639	94
IGHVII-53-1	HSCHR14_3_CTG1	1091349	1091603	255
TCEAL8P1	3	66622760	66623102	343
CHRNB4	15	78624111	78727754	103644
	HSCHR14_1_CTG1	176906	178412	1507
IGHV3-22	HSCHR14_3_CTG1	725531	725992	462
	3	86258936	86267424	8489
IGHV3-72	HSCHR14_3_CTG1	1281865	1282407	543
	HSCHR14_1_CTG1	220651	227593	6943
NANOGP7	HSCHR14_1_CTG1	68538	69455	918
	HSCHR14_3_CTG1	822441	822477	37
U3	HSCHR14_1_CTG1	182710	182925	216
IGHV3-48	HSCHR14_3_CTG1	1029489	1030023	535
IGHV7-40	HSCHR14_3_CTG1	917044	917242	199
TOR2A	9	127731524	127735313	3790
RPL10AP6	3	61742455	61743106	652
IGHV3-69-1	HSCHR14_3_CTG1	1219842	1220286	445
IGHV1-69D	HSCHR14_3_CTG1	1253361	1253857	497
VGLL3	3	86876388	86991149	114762
TPT1-AS1	13	45341345	45417975	76631
IGHV3-29	HSCHR14_3_CTG1	823980	824407	428
IGHV3-36	HSCHR14_3_CTG1	884453	884910	458
IGHV1-58	HSCHR14_3_CTG1	1114036	1114534	499
IGHV2-5	HSCHR14_3_CTG1	505671	506134	464
IGHV3-47	HSCHR14_3_CTG1	1010261	1010706	446
IGHVIII-44	HSCHR14_3_CTG1	969899	970072	174
TRMT11	6	125986479	126203817	217339
IGHV8-51-1	HSCHR14_3_CTG1	1075185	1075486	302
IGHV3-57	HSCHR14_3_CTG1	1110573	1110852	280
IGHV3-63	HSCHR14_3_CTG1	1143916	1144360	445
IGHVIII-26-1	HSCHR14_3_CTG1	777186	777435	250
	HSCHR14_3_CTG1	1241971	1242424	454
	11	36196248	36197901	1654
	HSCHR14_3_CTG1	171730	172371	642
	21	6215291	6217681	2391
	2	18784807	18787752	2946
DNAJC28	21	33488055	33491716	3662
IGHVII-30-1	HSCHR14_3_CTG1	810493	810724	232
	2	29890371	29892354	1984
IGHV3-60	HSCHR14_3_CTG1	1122876	1123332	457
IGHV3-38	HSCHR14_3_CTG1	902171	902700	530
IGHV3-73	HSCHR14_3_CTG1	1293866	1294407	542
TSPAN18	11	44726465	44932423	205959
IGHV4-61	HSCHR14_3_CTG1	1130798	1131336	539
	21	6667304	6670667	3364
VSNL1	2	17539126	17657018	117893
IGHVII-51-2	HSCHR14_3_CTG1	1076397	1076655	259
IGHV3-74	HSCHR14_3_CTG1	1301614	1302305	692
GBE1	3	81489703	81761645	271943
IGHV3-25	HSCHR14_3_CTG1	756798	757248	451
SLX9	21	44940025	44976973	36949
IGHVII-65-1	HSCHR14_3_CTG1	1163476	1163723	248
IGHV3-75	HSCHR14_3_CTG1	1314861	1315321	461
IGHV2-70D	HSCHR14_3_CTG1	1215253	1215772	520
AP1G2	14	23559565	23568070	8506
	HSCHR14_3_CTG1	840988	841418	431
NPM1P52	8	103016744	103017589	846
IGHVII-33-1	HSCHR14_3_CTG1	859064	859343	280
IGHV3-37	HSCHR14_3_CTG1	888355	888793	439
IGHVII-26-2	HSCHR14_3_CTG1	782420	782744	325
	8	88809949	88813144	3196
IGHV3-62	HSCHR14_3_CTG1	1134821	1135264	444
	HSCHR14_3_CTG1	847819	848285	467
REXO1L9P	8	85762909	85766931	4023
RPL30P10	8	57392546	57392882	337
ATP5MC1P1	HSCHR14_3_CTG1	3859	4237	379
TNFRSF11B	8	118923557	118951885	28329
IGHV1-67	HSCHR14_3_CTG1	1172282	1172721	440
HOMER2P1	HSCHR14_3_CTG1	951771	952734	964
IGHVIV-44-1	HSCHR14_3_CTG1	981024	981435	412
IGHV1-69-2	HSCHR14_3_CTG1	1228789	1229226	438
IGHV3-30	HSCHR14_3_CTG1	802851	803382	532
	15	77568970	77608888	39919
IGHVIII-67-4	HSCHR14_3_CTG1	1186781	1187076	296
IGHV4-4	HSCHR14_3_CTG1	479691	480189	499
IGHG2	HSCHR14_3_CTG1	110839	112559	1721
RPL18P11	15	78661047	78661576	530
	15	81554003	81696780	142778
	15	85726115	85727227	1113
	15	56795382	56795522	141
	16	87739771	87747706	7936
IGHV3-71	HSCHR14_3_CTG1	1266334	1266792	459
	16	88984032	88995369	11338
	22	50314631	50316008	1378
IGHV1-69	HSCHR14_3_CTG1	1206361	1206860	500
IGHV3-52	HSCHR14_3_CTG1	1078055	1078505	451
IGHV3-49	HSCHR14_3_CTG1	1048615	1049156	542
	22	19121529	19124503	2975
	16	87780134	87806476	26343
MAN2A2	15	90902218	90922584	20367
	22	19124309	19128449	4141
ASXL3-DT	18	33552123	33578187	26065
	16	88234785	88302511	67727
COPDA1	HSCHR14_3_CTG1	115693	116826	1134
TSSK1A	22	19124879	19125646	768
DYNAPP2	18	54563082	54567303	4222
OR10H4	19	15944299	15950350	6052
IGHV3-76	HSCHR14_3_CTG1	1319043	1319337	295
	16	87683945	87684477	533
SH2D3C	9	127738317	127778710	40394
DYNAPP3	18	54578541	54578619	79
IGHVII-49-1	HSCHR14_3_CTG1	1056054	1056277	224
	2	11673964	11676925	2962
ESS2	22	19130279	19144684	14406
IGHV1-46	HSCHR14_3_CTG1	1002794	1003535	742
DYNAP	18	54587757	54599493	11737
	2	37816915	37817961	1047
KLHL36	16	84648511	84667686	19176
SLC20A1P1	HSCHR14_3_CTG1	1175074	1176029	956
RPL17P17	3	65843890	65844446	557
IGHVII-60-1	HSCHR14_3_CTG1	1129397	1129652	256
IGHV5-78	HSCHR14_3_CTG1	1342297	1342591	295
CFAP20DC-DT	3	59050164	59754808	704645
IGHV3-23	HSCHR14_3_CTG1	736375	736909	535
	21	37816074	37840669	24596
	19	16479067	16628204	149138
	2	14886647	14907664	21018
	21	37593977	37661496	67520
IGHVIII-67-2	HSCHR14_3_CTG1	1178792	1178879	88
KCNJ6	21	37607373	38121345	513973
IGHV1-14	HSCHR14_3_CTG1	613660	613900	241
	2	6258348	6341788	83441
5S_rRNA	HSCHR14_3_CTG1	1128351	1128465	115
IGHD	HSCHR14_3_CTG1	304534	313446	8913
	18	34573987	34574523	537
	18	34737795	34767663	29869
MTCO2P6	3	89587886	89588570	685
HNRNPA3P8	3	80216261	80217234	974
RPS28P1	HSCHR14_8_CTG1	151199	151385	187
	19	19254748	19273369	18622
HMGB1P38	3	79957566	79958142	577
	18	34892013	34903504	11492
RNU7-116P	HSCHR14_8_CTG1	72396	72457	62
SGPP1	HSCHR14_8_CTG1	20168	64017	43850
	3	78087404	78092270	4867
	2	3156756	3157797	1042
	2	12715415	12716227	813
KCNK17	6	39299001	39314461	15461
RPS13P4	2	23900693	23901149	457
IGHM	HSCHR14_3_CTG1	321989	323987	1999
	2	18547386	18548204	819
NOL4	18	33851100	34224952	373853
DOCK3	3	50674927	51384198	709272
LINC01866	2	16970034	16974497	4464
	2	30677762	30679895	2134
LINC02923	2	23375229	23381299	6071
IGHJ6	HSCHR14_3_CTG1	330967	331029	63
	8	64801236	64817573	16338
	19	15902300	15903238	939
IGHJ3P	HSCHR14_3_CTG1	331185	331234	50
IGHJ5	HSCHR14_3_CTG1	331583	331633	51
	2	1341044	1346568	5525
	19	16577642	16660115	82474
EIF2S2P1	HSCHR14_8_CTG1	70649	71875	1227
	2	5696220	5719670	23451
IGHJ4	HSCHR14_3_CTG1	331984	332031	48
LINC03090	8	101128987	101133486	4500
IGHJ3	HSCHR14_3_CTG1	332356	332405	50
CRTC1P1	2	52570648	52572522	1875
IGHJ2P	HSCHR14_3_CTG1	332562	332621	60
	HSCHR14_8_CTG1	97965	98101	137
IGHJ2	HSCHR14_3_CTG1	332968	333020	53
RPS26P6	8	100895771	100896118	348
IGHJ1	HSCHR14_3_CTG1	333176	333227	52
	8	59821124	59821433	310
	2	30986939	30991426	4488
IGHD7-27	HSCHR14_3_CTG1	333320	333330	11
MLKL	16	74671855	74700960	29106
KCNJ6-AS1	21	37698555	37740702	42148
	8	101208148	101208558	411
IGHJ1P	HSCHR14_3_CTG1	333393	333447	55
	2	30887626	30897387	9762
	21	37751547	37763976	12430
IGHD1-26	HSCHR14_3_CTG1	348803	348822	20
	2	29899597	29907199	7603
	8	34174886	34207513	32628
DSCR4	21	37951425	38121360	169936
IGHD6-25	HSCHR14_3_CTG1	349308	349325	18
IGHD5-24	HSCHR14_3_CTG1	351672	351691	20
	8	43542076	43544057	1982
IGHD4-23	HSCHR14_3_CTG1	352639	352657	19
IGHD3-22	HSCHR14_3_CTG1	353800	353830	31
IGHD2-21	HSCHR14_3_CTG1	356320	356347	28
DSCR4-IT1	21	38006544	38010618	4075
	HSCHR14_3_CTG1	357853	364346	6494
	8	30249502	30250092	591
DSCR8	21	38121451	38156511	35061
	8	123924759	123925933	1175
SUMO2P18	8	97858049	97858947	899
IGHD1-20	HSCHR14_3_CTG1	358960	358976	17
IGHD6-19	HSCHR14_3_CTG1	359468	359488	21
IGHD5-18	HSCHR14_3_CTG1	361311	361330	20
LDAH	2	20684014	20823130	139117
IGHD4-17	HSCHR14_3_CTG1	362277	362292	16
	11	27483850	27484128	279
IGHD3-16	HSCHR14_3_CTG1	363403	363439	37
LINC03044	8	101122145	101126158	4014
IGHD2-15	HSCHR14_3_CTG1	365726	365756	31
	8	48818293	48824062	5770
	8	121954640	122127184	172545
IGHD1-14	HSCHR14_3_CTG1	368407	368423	17
EEF1G	11	62559596	62574086	14491
NASPP1	8	60937705	60939871	2167
IGHD6-13	HSCHR14_3_CTG1	368911	368931	21
FAM32A	19	16185380	16192046	6667
IGHD5-12	HSCHR14_3_CTG1	370418	370440	23
SDCBPP2	8	69942948	69944648	1701
IGHD4-11	HSCHR14_3_CTG1	371385	371400	16
IGHD3-10	HSCHR14_3_CTG1	372266	372296	31
IGHD3-9	HSCHR14_3_CTG1	372450	372480	31
	8	104990308	104990692	385
IGHD2-8	HSCHR14_3_CTG1	374980	375010	31
IGHD1-7	HSCHR14_3_CTG1	377676	377692	17
	8	64570913	64571332	420
IGHD6-6	HSCHR14_3_CTG1	378179	378196	18
IGHD5-5	HSCHR14_3_CTG1	380026	380045	20
LINC02847	8	48597458	48621018	23561
IGHD4-4	HSCHR14_3_CTG1	380991	381006	16
IGHD3-3	HSCHR14_3_CTG1	382128	382158	31
	8	68848737	68852763	4027
IGHD2-2	HSCHR14_3_CTG1	384595	384625	31
FAM30A	HSCHR14_3_CTG1	385748	400411	14664
LINC01288	8	34784028	34865364	81337
SLC25A30	13	45393316	45418455	25140
	6	116258493	116259115	623
SNAI2	8	48917598	48921740	4143
RPS27AP11	6	113581501	113581947	447
	6	62611153	62611327	175
LINC02880	6	113904132	113921642	17511
IGHD1-1	HSCHR14_3_CTG1	387271	387287	17
IGHV6-1	HSCHR14_3_CTG1	407523	408022	500
IGHVII-1-1	HSCHR14_3_CTG1	412979	413158	180
ADAM6	HSCHR14_3_CTG1	437498	440038	2541
	8	71155454	71204223	48770
ADAM6	HSCHR14_3_CTG1	437937	438935	999
	HSCHR14_3_CTG1	446289	446915	627
IGHV1-2	HSCHR14_3_CTG1	454351	454852	502
RPS12P15	8	102503753	102504137	385
DSCR10	21	38206156	38208644	2489
MTBP	8	120445400	120542133	96734
LINC01667	21	9810381	9810503	123
LINC01667	21	9781910	9838011	56102
	16	87066705	87069752	3048
	16	86636328	86637145	818
LINC02188	16	86710122	86742083	31962
HBS1L	6	134960378	135103056	142679
	21	9997487	9998033	547
TSSK2	22	19131308	19132622	1315
	21	9975017	10119309	144293
RPL13AP7	21	25361821	25362431	611
	21	25362085	25381756	19672
	19	16610411	16636531	26121
GSC2	22	19146993	19150292	3300
NCOR1P4	21	9558970	9559155	186
	21	9529934	9559268	29335
SSR4P1	21	45071828	45072239	412
SSR4P1	21	45070952	45074165	3214
SLC25A1	22	19175581	19178739	3159
	21	38204544	38205606	1063
CIAPIN1	16	57428187	57447420	19234
	21	38204141	38206080	1940
CSTB	21	43772511	43776330	3820
BABAM1	19	17267376	17281249	13874
	21	43939919	43959673	19755
NELL1	11	20669551	21575686	906136
PRICKLE2-AS1	3	64067964	64103131	35168
LINC01678	21	44158740	44160076	1337
ICE2P2	3	88948142	88950928	2787
	8	111179193	111179872	680
RPL31P41	8	65155407	65155778	372
	3	86816740	86817036	297
	21	44241575	44242081	507
	8	87867601	87868607	1007
ID2B	3	62124204	62124608	405
	21	46326288	46326491	204
	8	97788210	97788357	148
LINC01436	21	36005137	36007838	2702
LINC01609	8	111093263	111236203	142941
RPEP2	3	26015669	26016369	701
CBR1-AS1	21	36069642	36126640	56999
	21	36070024	36070700	677
	21	36104881	36109690	4810
	3	87641412	87793629	152218
ASMER1	21	14816838	14927515	110678
	8	114318400	114318911	512
	21	14818843	15014456	195614
	21	14918534	14947096	28563
	21	14961309	14964233	2925
	21	14971470	14992854	21385
	8	117128455	117130299	1845
	21	15263421	15283727	20307
	8	64554236	64554475	240
	21	15346652	15346738	87
RPSAP48	8	110105076	110105964	889
FRMD4B	3	69168782	69542583	373802
	21	15368966	15627342	258377
	8	57261226	57266613	5388
	8	72660584	72661470	887
	8	19246350	19249240	2891
	8	100427559	100432726	5168
MTERF3	8	96239398	96261610	22213
PPIAP25	13	45436121	45436660	540
PABPC3	13	25096136	25099254	3119
	13	25096140	25098229	2090
	13	25141536	25141809	274
AMER2	13	25161679	25172288	10610
LINC01053	13	25168969	25190643	21675
LINC00463	13	25172819	25180079	7261
	13	25190063	25190317	255
LINC01076	13	25193107	25210295	17189
RPL23AP69	13	25206049	25206506	458
MTMR6	13	25246222	25287510	41289
CYCSP42	21	15490530	15490767	238
RNU6-1326P	21	15614283	15614389	107
RAD23BP3	21	15694300	15696581	2282
LINC01426	21	34745756	34784886	39131
	2	18939697	18946650	6954
RUNX1	21	34787801	36004667	1216867
MATN3	2	19992052	20012668	20617
EPB41L3	18	5392381	5630700	238320
GOLGA6L22	HSCHR15_3_CTG3	103148	112824	9677
	HSCHR15_3_CTG3	16227	18061	1835
	HSCHR14_2_CTG1	146844	147670	827
HERC2P7	HSCHR15_3_CTG3	124076	128477	4402
	15	85750336	85752901	2566
SPATA31E3P	HSCHR15_3_CTG3	45677	51413	5737
TMEM179	HSCHR14_2_CTG1	25361	163470	138110
	HSCHR15_3_CTG3	5129	5408	280
MPHOSPH10P9	HSCHR15_3_CTG3	95362	99307	3946
Metazoa_SRP	HSCHR15_3_CTG3	253477	253713	237
GGTLC5P	22	18340145	18345899	5755
Metazoa_SRP	HSCHR15_3_CTG3	73675	73964	290
GOLGA8EP	HSCHR15_3_CTG3	72109	82378	10270
HOMER2	15	82836946	82986153	149208
FAM230J	22	18361820	18391105	29286
	9	127754534	127760560	6027
CDK9	9	127785679	127790792	5114
GOLGA8DP	HSCHR15_1_CTG3	257936	268257	10322
	HSCHR15_3_CTG3	71514	81408	9895
MIR623	13	99356131	99356228	98
HMGB3P4	13	99372173	99372686	514
	13	99404684	99417224	12541
CCR12P	13	99407837	99408914	1078
	13	99429211	99432702	3492
TM9SF2	13	99446311	99564048	117738
C14orf180	HSCHR14_2_CTG1	137507	148338	10832
HERC2P2	HSCHR15_3_CTG3	139181	224046	84866
	HSCHR15_1_CTG3	326384	326899	516
HS1BP3	2	20560448	20651130	90683
	HSCHR15_3_CTG3	161130	235188	74059
CYFIP1	HSCHR15_1_CTG3	746	78058	77313
	22	18374106	18375689	1584
PPP1R26P3	22	18400407	18404206	3800
TUBA8	22	18110100	18146683	36584
GOLGA8IP	HSCHR15_3_CTG3	251876	262088	10213
PPIAP85	8	58503588	58504068	481
DSCC1	8	119833976	119855894	21919
GOLGA8IP	HSCHR15_3_CTG3	254689	262186	7498
REXO1L2P	8	85775106	85779090	3985
MRPL13	8	120380761	120445402	64642
MIR3960	9	127785833	127785923	91
MIR2861	9	127785918	127786007	90
FPGS	9	127794597	127814327	19731
SOHLH2	13	36168217	36214588	46372
RUNX1-AS1	21	34836286	34884882	48597
SETD4-AS1	21	36060432	36064408	3977
CBR3-AS1	21	36131767	36175815	44049
SETP6	3	81612238	81612805	568
RPL10P17	1	12220794	12221109	316
RBP7	1	9997206	10016021	18816
ATAD2B	2	23748664	23927123	178460
ADSL	22	40346461	40390463	44003
	8	21023276	21030368	7093
RORA-AS1	15	60479152	60630637	151486
	8	61821481	61825252	3772
	HSCHR15_1_CTG3	293999	294204	206
GOLGA6L1	HSCHR15_1_CTG3	228776	237330	8555
	1	22364630	22366482	1853
	8	120761253	120776832	15580
	8	73083787	73085879	2093
GPR157	1	9100305	9129102	28798
	8	29110573	29140729	30157
ABCB10P1	HSCHR15_1_CTG3	280377	282557	2181
	8	98436669	98439290	2622
	8	23707141	23789487	82347
TUBGCP5	HSCHR15_1_CTG3	80186	136694	56509
	8	118982579	118982875	297
CADPS	3	62398346	62875416	477071
MTND1P5	8	103085651	103086590	940
JPH3	16	87601835	87698156	96322
CCN3	8	119416446	119424434	7989
RAC1P9	7	53779783	53780263	481
SOCS5P1	7	86216785	86217733	949
CCDC169-SOHLH2	13	36168794	36297842	129049
ZBTB40	1	22428838	22531157	102320
	7	63326674	63354326	27653
PIGP	21	37062846	37073170	10325
	7	79657947	79675015	17069
DCD	12	54644589	54648493	3905
	7	86775081	86776022	942
	7	94071759	94077157	5399
	7	57650381	57651119	739
	7	46302120	46343621	41502
PDE8A	15	84980440	85139145	158706
	7	66119603	66165011	45409
	7	53514992	53517116	2125
	8	96126967	96127801	835
NRBF2P4	8	107983116	107983965	850
ASB4	7	95478444	95540233	61790
LINC01414	8	63687179	64369176	681998
HSPE1P7	16	74612596	74613221	626
CDH11	16	64943753	65126112	182360
SUMO2P20	8	69987415	69987697	283
TMEM74	8	108606850	108787594	180745
	12	39539581	39539851	271
TUBB8P4	12	34164773	34166954	2182
HMGB3P21	7	97135015	97135561	547
	7	63354033	63354365	333
DDX43P3	7	81610884	81611326	443
	7	63380466	63385789	5324
	12	27121910	27147664	25755
FBXO32	8	123497889	123541206	43318
RBM48	7	92528773	92540481	11709
RPAP3	12	47661249	47706030	44782
CCDC169	13	36222008	36297840	75833
	2	16294445	16302290	7846
SLC25A5P2	2	33839782	33840678	897
RPL37P11	2	26678219	26678510	292
	2	42015625	42025302	9678
SRBD1	2	45388680	45612165	223486
EEF1A1P28	7	88639014	88640416	1403
TTC3-AS1	21	37187666	37193926	6261
DSCR9	21	37208234	37221736	13503
MTERF1	7	91692008	91880702	188695
NCAN	19	19211958	19252233	40276
	1	16228674	16231335	2662
	1	16159266	16161883	2618
	1	11500803	11502016	1214
	21	37221353	37296532	75180
	8	120913065	121119754	206690
DEPTOR-AS1	8	119867419	119874488	7070
	7	88455309	88456191	883
	8	63586000	63589408	3409
NPTX2	7	98617285	98629869	12585
	8	98603253	98606340	3088
FER1L6-AS1	8	123984138	124040782	56645
	8	119350291	119416947	66657
NPHP4	1	5862811	5992473	129663
	8	101411873	101452452	40580
MRPS36P3	8	122091480	122091609	130
	8	48925917	48931288	5372
	11	62559603	62591531	31929
MATN2	8	97868840	98036724	167885
	7	63209219	63211822	2604
IFITM3P4	7	56163145	56163533	389
	7	97966377	97970404	4028
	7	57485166	57485895	730
BET1-AS1	7	93969442	94011113	41672
	11	30773913	30850559	76647
	11	62537312	62542018	4707
SUGP1	19	19276018	19320509	44492
ERVW-1	7	92468380	92477986	9607
IMMP1L	11	31432401	31509645	77245
KRT126P	12	52715567	52721655	6089
	7	98322853	98323430	578
	7	95350164	95351229	1066
	2	46166789	46167978	1190
	7	56322804	56323601	798
CISD1P1	2	19826249	19826575	327
	12	33404872	33405896	1025
TEX47	7	88794106	88795737	1632
KRT76	12	52768155	52777345	9191
CAPN13	2	30722771	30820542	97772
AP1G2-AS1	14	23561097	23568073	6977
	7	68640798	68641584	787
	7	63057453	63060084	2632
	14	23619201	23620012	812
BRD7P1	14	23749236	23751150	1915
	14	23767662	23768998	1337
RN7SKP205	14	23791930	23792236	307
	14	23817281	23827396	10116
TAC1	7	97732084	97740472	8389
	14	23875938	23882428	6491
LINC00596	14	23922247	23934568	12322
PGAP3	17	39671122	39696797	25676
DHRS4	14	23953734	23969279	15546
MTND2P17	12	41698495	41699182	688
	12	20551590	20553012	1423
	12	60215994	60216384	391
	12	17479446	17709867	230422
MPHOSPH10P5	HSCHR15_1_CTG3	241071	244930	3860
RPS3P6	12	62021570	62022174	605
Metazoa_SRP	HSCHR15_1_CTG3	266405	266694	290
ELMO2P1	HSCHR15_1_CTG3	183255	195561	12307
ETNK1-DT	12	22609228	22625015	15788
	HSCHR15_1_CTG3	190883	221840	30958
ZNF970P	12	37575587	37576384	798
SSBL3P	12	45071769	45072843	1075
LINC02378	12	17509353	17590049	80697
	12	30320834	30321617	784
	12	50185580	50191363	5784
GAPDHP44	12	62755227	62756233	1007
NF1P12	12	38206231	38207192	962
LINC02448	12	59523278	59524184	907
LINC02461	12	43155315	43163110	7796
	12	58544124	58813060	268937
OR5D16	11	55838752	55839738	987
	11	42939775	42939998	224
FIBIN	11	26994112	26997087	2976
OR5B19P	11	58343737	58344664	928
MEAK7	16	84476355	84554033	77679
LINC02687	11	45371397	45388511	17115
	12	62139999	62145643	5645
	22	22988263	22988581	319
	22	22990690	23008356	17667
RPS17	HSCHR15_5_CTG8	325859	329670	3812
